speaker1,speaker2,line_count,scene_count,word_count
ATTENDANT,CHILI,6,1,42
BEAR,BO CATLETT,51,15,646
BEAR,CHILI,18,5,259
BO CATLETT,CHILI,69,20,914
BO CATLETT,ESCOBAR,18,4,279
BO CATLETT,HARRY,28,9,351
BO CATLETT,RONNIE,8,3,119
BONES,CHILI,13,4,177
BONES,HARRY,26,5,247
BONES,RONNIE,11,3,112
CHILI,CURTIS,17,3,153
CHILI,DICK,7,2,111
CHILI,HARRY,138,39,2001
CHILI,KAREN,124,33,1570
CHILI,LEO,22,5,243
CHILI,MANAGER,7,2,102
CHILI,MARTIN,51,13,579
CHILI,RAY BONES,19,5,239
CHILI,TOMMY,30,7,451
DIRECTOR,HARRY,13,4,253
DORIS,HARRY,18,6,226
HARRY,KAREN,29,10,306
HARRY,MARTIN,7,2,111
KAREN,MARTIN,16,6,193
