speaker1,speaker2,line_count,scene_count,word_count
DANA,FRANK,12,3,135
DANA,JANOSZ,29,8,530
DANA,SPENGLER,18,4,178
DANA,STANTZ,9,4,86
DANA,VENKMAN,95,24,1452
ELAINE,VENKMAN,6,1,213
HARDEMEYER,VENKMAN,13,5,294
JANINE,LOUIS,31,10,451
JANOSZ,VENKMAN,22,9,297
JANOSZ,VIGO,12,2,163
JUDGE,LOUIS,11,5,157
JUDGE,VENKMAN,8,3,83
LOUIS,SHERMAN,17,3,300
MILTON,VENKMAN,7,1,264
PROSECUTOR,VENKMAN,8,3,170
SPENGLER,STANTZ,30,12,416
SPENGLER,VENKMAN,31,12,335
SPENGLER,WINSTON,10,5,92
STANTZ,VENKMAN,77,30,1017
STANTZ,WINSTON,36,13,509
VENKMAN,WINSTON,16,7,183
