speaker1,speaker2,line_count,scene_count,word_count
BLONDELL,JORDAN,25,6,329
C.O.,DEHAVEN,14,3,283
C.O.,JORDAN,57,15,1047
CORTEZ,JORDAN,9,4,27
CORTEZ,MCCOOL,9,3,77
DEHAVEN,DEHAVEN'S AIDE,8,3,79
DEHAVEN,HAYES,13,4,325
DEHAVEN,JORDAN,47,9,826
FLAG OFFICER #1,HAYES,7,2,125
FLEA,JORDAN,15,5,186
INSTRUCTOR JOHNS,JORDAN,10,3,80
INSTRUCTOR PYRO,JORDAN,12,3,173
INSTRUCTOR PYRO,THE CHIEF,15,4,218
JORDAN,MCCOOL,14,6,140
JORDAN,ROYCE,91,19,1428
JORDAN,SLUTNIK,20,8,234
JORDAN,THE CHIEF,53,14,710
JORDAN,WICKWIRE,44,9,535
MCCOOL,SLUTNIK,10,4,64
ROYCE,THE SPOOK,25,3,378
