speaker1,speaker2,line_count,scene_count,word_count
ATLEY JACKSON,MEMPHIS,43,13,460
CALITRI,MEMPHIS,41,15,575
DETECTIVE CASTLEBECK,DETECTIVE DRYCOFF,8,3,136
DETECTIVE CASTLEBECK,MEMPHIS,45,11,532
DETECTIVE CASTLEBECK,OTTO,11,5,63
DETECTIVE DRYCOFF,MEMPHIS,8,1,52
DONNY ASTRICKY,FREB,30,9,299
DONNY ASTRICKY,KIP,12,5,92
DONNY ASTRICKY,MEMPHIS,17,7,159
DONNY ASTRICKY,OTTO,13,5,130
FREB,KIP,14,6,116
HELEN RAINES,MEMPHIS,29,9,263
JUDGE CROFT,TOBY,11,4,111
KIP,MEMPHIS,115,31,977
KIP,OTTO,7,1,42
KIP,TOBY,19,6,111
KIP,TUMBLER,14,6,70
MEMPHIS,MIRROR MAN,16,7,140
MEMPHIS,OTTO,39,11,587
MEMPHIS,SWAY,116,33,1115
MEMPHIS,TOBY,25,8,409
MEMPHIS,TOM,9,2,80
TOBY,TUMBLER,9,3,65
