speaker1,speaker2,line_count,scene_count,word_count
ALL,CHUCKIE,10,3,164
BILLY,MORGAN,13,5,88
CHUCKIE,CLARK,11,4,188
CHUCKIE,EXECUTIVE,10,3,110
CHUCKIE,MORGAN,58,21,772
CHUCKIE,SKYLAR,31,11,336
CHUCKIE,WILL,63,19,882
DYTRESS,WILL,7,1,125
HYPNOTIST,WILL,11,3,70
LAMBEAU,PEKEC,8,3,79
LAMBEAU,SEAN,133,25,1632
LAMBEAU,STUDENT,7,1,45
LAMBEAU,TERRY,11,2,105
LAMBEAU,TIMMY,11,3,59
LAMBEAU,TOM,8,2,49
LAMBEAU,WILL,76,20,801
MORGAN,WILL,16,7,171
PSYCHOLOGIST,WILL,27,3,446
SEAN,WILL,178,30,2373
SKYLAR,WILL,190,29,2197
