speaker1,speaker2,line_count,scene_count,word_count
A MAN,KRINGELEIN,10,5,206
BARON,CHAUFFEUR,44,6,343
BARON,FLAEMMCHEN,70,10,377
BARON,GRUSINSKAYA,128,18,1613
BARON,KRINGELEIN,58,17,494
BARON,PIMENOV,20,4,206
BARON,PREYSING,17,6,176
CLERK,SENF,26,6,273
DOCTOR,KRINGELEIN,45,13,622
DOCTOR,SENF,8,2,17
FLAEMMCHEN,KRINGELEIN,70,14,837
FLAEMMCHEN,PREYSING,100,22,720
GERSTENKORN,PREYSING,44,12,572
GERSTENKORN,SCHWEIMANN,8,3,65
GERSTENKORN,WAITZ,8,3,108
GERSTENKORN,ZINNOWITZ,12,5,163
GRUSINSKAYA,MEIERHEIM,21,7,285
GRUSINSKAYA,PIMENOV,13,5,143
GRUSINSKAYA,SUZETTE,30,10,350
KRINGELEIN,MANAGER,7,2,80
KRINGELEIN,PREYSING,33,6,466
KRINGELEIN,ROHNA,8,3,111
MEIERHEIM,PIMENOV,11,4,116
PREYSING,ZINNOWITZ,41,6,586
