speaker1,speaker2,line_count,scene_count,word_count
APRIL,DAVID,26,10,151
APRIL,HANNAH,11,4,51
APRIL,HOLLY,50,14,428
CAROL,NORMAN,11,4,127
DAVID,HOLLY,46,15,318
DR. ABEL,MICKEY,29,9,405
DUSTY,ELLIOT,10,3,175
DUSTY,LEE,10,3,73
ED,MICKEY,11,3,63
ELLIOT,HANNAH,65,18,739
ELLIOT,LEE,175,46,1863
EVAN,HANNAH,18,8,236
FATHER,MICKEY,20,5,226
FREDERICK,LEE,72,18,705
GAIL,MICKEY,51,14,675
HANNAH,HOLLY,145,46,1612
HANNAH,LEE,48,13,423
HANNAH,MICKEY,66,15,532
HANNAH,NORMA,17,4,239
HOLLY,LEE,25,11,182
HOLLY,MICKEY,164,25,1892
KRISHNA LEADER,MICKEY,10,1,173
