speaker1,speaker2,line_count,scene_count,word_count
ANNA,PAZZI,21,2,123
BARNEY,STARLING,67,5,712
BRIGHAM,STARLING,35,9,310
COMMITTEE MEMBER,PAZZI,7,2,74
COP ONE,PAZZI,19,3,112
CORDELL,FRANKLIN,7,1,35
CORDELL,LECHTER,21,2,260
CORDELL,STARLING,26,2,224
CORDELL,VERGER,30,10,380
CRAWFORD,KRENDLER,18,4,220
CRAWFORD,STARLING,28,6,279
DRUMGO,STARLING,23,6,160
FELL,MRS. PAZZI,18,4,174
FELL,PAZZI,53,12,671
FRANKLIN,VERGER,14,2,139
GENTLEMAN,VERGER,7,2,77
KRENDLER,STARLING,22,6,277
LECHTER,STARLING,19,3,163
LECHTER,VERGER,19,3,221
MAPP,STARLING,54,12,526
MRS. PAZZI,PAZZI,28,6,257
PAZZI,RICCI,7,2,38
PAZZI,STARLING,26,4,322
PAZZI,SUPERIOR,8,2,56
PAZZI,VOICE ON PHONE,11,1,73
PSYCHIATRIST,STARLING,62,5,749
STARLING,VERGER,17,6,377
