speaker1,speaker2,line_count,scene_count,word_count
BRENNA,DENNIS,17,5,206
BRENNA,DESK OFFICER,7,2,62
BRENNA,EXAMINER,12,3,88
BRENNA,KIDELL,17,3,201
BRENNA,LIBRARIAN,14,4,167
BRENNA,MAN,6,1,63
BRENNA,MORAN,27,3,396
BRENNA,SUPERVISOR,8,3,126
BRENNA,TAUPIN,170,39,1554
BRENNA,UNCLE JOE,9,3,101
CONOR,KATHERINE,9,3,35
CONOR,MARA,22,4,226
CONOR,ROMIREZ,109,23,1318
CONOR,TAVERN MAN #2,10,2,33
DUPONT,KNIGHT,17,5,176
DUPONT,MAJOR,7,2,57
DUPONT,MULET,27,7,247
FATHER,MOTHER,7,2,57
GRANDSON,TAUPIN,7,2,57
INSPECTOR,MORAN,13,3,164
INTRUDER,TAUPIN,12,3,79
KAHN,TAUPIN,35,11,373
KNIGHT,TAUPIN,22,7,116
KNIGHT'S VOICE,TAUPIN,7,2,40
MORAN,TAUPIN,33,7,270
MOTHER,TRAVELLER,7,1,93
MR. NORTH,TAUPIN,18,4,151
