speaker1,speaker2,line_count,scene_count,word_count
BEDSOE,CAPTAIN,8,2,209
BEDSOE,DETECTIVE GRELEY,23,6,255
BEDSOE,JENNIFER,12,4,96
BEDSOE,MCCLEOD,38,11,335
BEDSOE,ROBBERY DETECTIVE,8,2,107
CAVANAUGH,MCCLEOD,79,21,805
FARMER,MCCLEOD,14,4,139
HOODED MAN,VIEIRA,8,3,56
ISABELLE,MCCLEOD,20,4,109
JENNIFER,MCCLEOD,106,27,929
JENNIFER,PROFESSOR DAJORSKI,26,7,260
JENNIFER,REPORTER,7,2,73
KILVARA,MCCLEOD,10,3,181
KILVARA,OLD MAN,8,3,136
MACLEOD,RACHEL,12,4,68
MCCLEOD,RACHEL,22,6,309
MCCLEOD,SARAH,9,3,75
MR. PARKER,TELLER,7,1,66
