speaker1,speaker2,line_count,scene_count,word_count
BENSINGER,BURNS,25,6,290
BENSINGER,HILDY,12,4,65
BENSINGER,MURPHY,7,2,146
BRUCE,BURNS,98,29,1295
BRUCE,HILDY,83,22,990
BURNS,DUFFY,12,3,138
BURNS,HARTMAN,28,10,414
BURNS,HILDY,356,59,5418
BURNS,LOUIE,17,5,173
BURNS,MAYOR,11,4,113
BURNS,MRS. BALDWIN,9,4,85
COOLEY,HILDY,16,6,138
EGELHOFFER,HARTMAN,13,2,167
EGELHOFFER,WILLIAMS,11,4,158
ENDICOTT,HILDY,24,11,215
ENDICOTT,MCCUE,10,5,53
ENDICOTT,MURPHY,31,13,356
GUS,HILDY,11,5,60
HARTMAN,HILDY,34,11,407
HARTMAN,MAYOR,71,19,878
HARTMAN,MURPHY,10,2,100
HARTMAN,PINKUS,10,5,74
HARTMAN,WILLIAMS,8,3,79
HILDY,LIEUTENANT,12,1,151
HILDY,LOUIE,15,6,142
HILDY,LOUIS,18,2,246
HILDY,MCCUE,19,8,226
HILDY,MOLLIE,22,9,154
HILDY,MRS. BALDWIN,9,3,126
HILDY,MURPHY,10,4,94
HILDY,SCHWARTZ,9,4,229
HILDY,WILLIAMS,48,13,728
HILDY,WILSON,7,2,46
MAYOR,PINKUS,47,11,466
MCCUE,MURPHY,16,8,187
SCHWARTZ,WILSON,10,4,250
