speaker1,speaker2,line_count,scene_count,word_count
ANDERS,TALLEY,14,4,152
ANDERS' VOICE,TALLEY,9,3,64
BELDONE,CASTELLANO,13,2,167
BENZA,FISCHER,7,2,102
BENZA,TUZEE,10,4,130
DENNIS,JENNIFER,13,4,103
DENNIS,KEVIN,52,17,620
DENNIS,MARS,23,8,237
DENNIS,TALLEY,55,15,641
DENNIS,WALTER,17,6,175
DILL,TALLEY,7,2,71
HOWELL,MARION,9,3,76
HOWELL,SEYMORE,12,3,121
HOWELL,TALLEY,24,9,297
JANE,TALLEY,15,5,156
JENNIFER,KEVIN,19,5,197
JENNIFER,MARS,16,7,115
JENNIFER,THOMAS,16,5,119
JORGENSON,TALLEY,8,3,46
KLAUS,TALLEY,12,5,118
LOUISE,TALLEY,11,3,131
LOUISE'S VOICE,TALLEY,28,7,216
MARTIN,TALLEY,31,10,403
MIKKELSON'S VOICE,TALLEY,13,4,108
MR. JONES,TALLEY,22,5,251
TALLEY,THE WATCHMAN,18,6,242
TALLEY,THE WATCHMAN'S VOICE,11,2,123
TALLEY,THOMAS,40,11,482
TALLEY,WALTER,10,3,88
