speaker1,speaker2,line_count,scene_count,word_count
BENEDICT,PAUL,9,3,62
BIK,PAUL,13,5,116
CAPTAIN,PAUL,36,12,291
COLONEL OLIVER,GLORIA,10,1,110
COLONEL OLIVER,PAUL,34,9,403
GENERAL BIZIMUNGU,PAUL,81,18,829
GEORGE,PAUL,19,6,161
GLORIA,JOCK,15,6,124
GLORIA,PAUL,9,3,58
GREGOIRE,PAUL,17,6,177
JOCK,PAUL,16,5,149
LIEUTENANT,PAUL,16,4,149
MILITIAMAN #1,PAUL,15,3,70
MR. GARINDI,PAUL,14,4,177
PAUL,PRESIDENT,13,5,118
PAUL,REFUGEE,6,1,30
PAUL,ROGER,10,3,59
PAUL,SABENA PRESIDENT,10,3,142
PAUL,TATIANA,138,41,1107
PAUL,XAVIER,13,4,131
PAUL,ZOZO,35,12,262
