speaker1,speaker2,line_count,scene_count,word_count
BABY,BILL,42,13,340
BABY,CASHIER,15,4,138
BABY,JERRY,24,6,319
BABY,MARY,21,6,146
BABY,MOTHER,16,7,131
BILL,CAPT. SPAULDING,18,2,204
BILL,DENISE,18,9,140
BILL,JERRY,72,17,895
BILL,MARY,37,15,279
CAPT. SPAULDING,STUCKY,25,4,332
CAPT. SPAULDING,WYDELL,15,3,234
DENISE,JERRY,52,14,530
DENISE,MARY,52,16,523
DENISE,MOTHER,16,6,271
DENISE,MR. WILLIS,7,1,213
HUSTON,NAISH,6,1,32
HUSTON,WYDELL,13,2,83
JERRY,MARY,22,9,223
JERRY,MOTHER,25,7,274
MARY,MOTHER,8,3,101
MARY,OTIS,13,5,185
MOTHER,OTIS,15,6,146
MOTHER,WYDELL,15,4,190
MR. WILLIS,NAISH,22,10,142
MR. WILLIS,WYDELL,13,5,157
NAISH,WYDELL,31,9,328
