speaker1,speaker2,line_count,scene_count,word_count
ALICIA,PHILIP,7,2,73
CONSTANCE,DAVID,34,11,299
CONSTANCE,MOISHE,10,4,94
CONSTANCE,PRESIDENT,9,4,107
DAVID,MARTY,34,10,376
DAVID,MOISHE,54,14,514
DAVID,STEVE,18,8,109
GENERAL GREY,NIMZIKI,17,7,249
GENERAL GREY,PRESIDENT,36,14,316
GENERAL GREY,SECOND OFFICER,6,1,25
JASMINE,MARGARET,15,4,121
JASMINE,STEVE,28,8,183
JIMMY,STEVE,17,7,153
MIGUEL,RUSSELL,16,6,231
MIGUEL,TROY,10,4,85
NIMZIKI,PRESIDENT,17,6,191
OKUN,PRESIDENT,9,4,160
OKUN/ALIEN,PRESIDENT,10,1,56
