speaker1,speaker2,line_count,scene_count,word_count
ANDREWS,CAPTAIN,13,3,201
ANDREWS,ELLIE,100,14,1249
ANDREWS,KING,22,6,454
ANDREWS,LOVINGTON,6,1,89
ANDREWS,MARY,8,1,85
ANDREWS,PETER,40,7,597
ANDREWS,SECRETARY,12,2,206
ANDREWS,WESTLEY,6,1,143
BOY,PETER,9,3,110
DANKER,PETER,8,2,77
DRIVER,PETER,26,6,307
ELLIE,GUARD,7,2,83
ELLIE,KING,6,1,175
ELLIE,OLD LADY,6,1,31
ELLIE,PETER,350,65,4250
ELLIE,PETER'S VOICE,25,10,421
ELLIE,SHAPELEY,10,3,298
ELLIE,WIFE,13,3,150
ELLIE'S VOICE,PETER,12,5,74
FIRST PILOT,SECOND PILOT,6,1,37
FIRST POLICEMAN,PETER,8,2,40
GORDON,PETER,51,8,731
GORDON,SECRETARY,9,3,89
MAN,PETER,7,1,88
MAN,WIFE,12,1,94
OPERATOR,PETER,9,1,105
OWNER,WIFE,20,5,177
PETER,SHAPELEY,61,8,666
