speaker1,speaker2,line_count,scene_count,word_count
BAILEY,POTTER,11,4,124
BERT,GEORGE,12,6,165
BERT,MAN,10,3,85
CARTER,GEORGE,9,1,79
CLARENCE,GEORGE,81,25,887
CLARENCE'S VOICE,FRANKLIN'S VOICE,11,1,145
CLARENCE'S VOICE,JOSEPH'S VOICE,31,8,287
COP,GEORGE,7,2,51
DR. CAMPBELL,GEORGE,9,3,118
ERNIE,GEORGE,16,6,158
FRANKLIN'S VOICE,JOSEPH'S VOICE,10,2,129
GEORGE,GOWER,25,8,163
GEORGE,HARRY,14,5,112
GEORGE,JOE,8,3,113
GEORGE,MA BAILEY,9,3,107
GEORGE,MARTINI,12,5,111
GEORGE,MARTY,8,2,67
GEORGE,MARY,122,35,1228
GEORGE,MRS. BAILEY,30,3,248
GEORGE,NICK,10,5,94
GEORGE,POP,26,5,390
GEORGE,POTTER,35,11,932
GEORGE,SAM,15,5,150
GEORGE,SAM'S VOICE,9,2,242
GEORGE,UNCLE BILLY,43,13,365
GEORGE,VIOLET,27,10,267
GEORGE,ZUZU,19,6,128
HARRY,MOTHER,10,3,110
TELLER,UNCLE BILLY,10,2,53
