speaker1,speaker2,line_count,scene_count,word_count
"""DOCTOR""",JACOB,18,3,135
DELLA,JACOB,11,2,51
DOORMAN,JACOB,6,1,31
DOUG,JERRY,9,4,96
ELI,JACOB,7,1,19
ELSA,JACOB,9,2,80
FRANK,JACOB,26,3,247
GABE,JACOB,11,2,68
GEARY,JACOB,25,5,465
GEORGE,JACOB,10,4,102
GEORGE,ROD,7,2,57
JACOB,JEZZIE,274,51,2600
JACOB,LEADER,12,3,75
JACOB,LOUIS,54,7,683
JACOB,MICHAEL,57,12,1032
JACOB,NURSE,16,3,110
JACOB,PAUL,64,8,745
JACOB,RECEPTIONIST,15,3,188
JACOB,RESIDENT,10,4,98
JACOB,ROD,12,4,141
JACOB,SARAH,18,4,218
JACOB,STERN,35,6,729
JACOB,VOICE,20,5,102
JACOB,WOMAN,14,5,165
JEZZIE,MRS. CARMICHAEL,9,1,63
