speaker1,speaker2,line_count,scene_count,word_count
AZRAEL,DALLAS,17,7,101
BOEMAN,BRODSKI,11,5,69
BOEMAN,DELONGPRE,23,11,140
BOEMAN,JANESSA,9,4,31
BOEMAN,RIZZO,35,15,273
BOEMAN,THORGAN,30,14,169
BRODSKI,JANESSA,9,2,65
BRODSKI,KICKER,11,5,89
BRODSKI,RIZZO,13,5,184
BRODSKI,YLLO,37,12,414
DELONGPRE,JANESSA,9,3,55
DELONGPRE,KAY-EM 14,10,5,86
DELONGPRE,RIZZO,69,28,554
DELONGPRE,THORGAN,20,10,123
DELONGPRE,YLLO,22,8,188
FAT LOU,YLLO,11,4,121
JANESSA,RIZZO,11,5,97
JANESSA,THORGAN,14,7,100
JANESSA,YLLO,11,5,62
KAY-EM 14,RIZZO,13,4,106
KAY-EM 14,THORGAN,32,12,239
KICKER,YLLO,10,4,91
KKINSA,RIZZO,15,6,58
PEREZ,YLLO,10,3,124
RIZZO,THORGAN,16,7,113
RIZZO,YLLO,36,13,274
