speaker1,speaker2,line_count,scene_count,word_count
ANDY,BROOKE,14,6,109
ANDY,DOUG,16,7,92
ANDY,JACKIE,22,10,101
ANDY,LARRY,12,6,76
ANDY,LUCY,9,4,65
ANDY,MIKE,22,8,133
BOB,LARRY,16,7,82
BRODY,ELKINS,39,7,362
BRODY,ELLEN,95,27,889
BRODY,HENDRICKS,54,18,444
BRODY,MIKE,43,13,294
BRODY,PATROL VOICE,22,3,207
BRODY,PETERSON,25,8,347
BRODY,PHIL,10,2,161
BRODY,SEAN,15,7,71
BRODY,TINA,9,2,54
BRODY,VAUGHN,37,8,500
BROOKE,JACKIE,14,6,87
BROOKE,MIKE,13,5,68
DIANE,TERRY,9,3,48
DOUG,LARRY,10,4,74
DOUG,TIMMY,13,3,91
ED,TINA,25,6,182
ELLEN,HENDRICKS,11,4,95
HENDRICKS,RED,14,5,113
JACKIE,MIKE,24,8,201
LUCY,PATRICK,11,4,90
LUCY,POLO,8,3,40
MIKE,SEAN,22,6,110
PETERSON,VAUGHN,18,7,170
