speaker1,speaker2,line_count,scene_count,word_count
AL,JIM,16,7,508
ANDREWS,JIM,29,4,586
BANISTER,MARTIN,17,4,452
BILL,FRANK,12,2,245
BILL,JIM,52,17,1603
BILL,LOU,15,5,292
BILL,MOBSTER,9,1,139
BILL,O'KEEFE,10,4,198
BILL,SUSIE,10,4,491
CORONER,JIM,8,2,141
DYMOND,GOLDBERG,6,1,82
DYMOND,SHAW,9,1,54
FERRIE,JIM,58,10,1341
FERRIE,LOU,30,5,826
FINCK,JIM,13,2,229
GARRISON,JUDGE HAGGERTY,8,2,109
JASPER,JIM,13,5,169
JEAN HILL,LAWYER,14,1,255
JEAN HILL,MAN,8,1,232
JIM,JOHNSON,11,3,201
JIM,LIZ,75,17,1728
JIM,LONG,11,3,485
JIM,LOU,76,24,1646
JIM,MARTIN,35,8,605
JIM,MERCER,9,3,260
JIM,MILLER,25,7,472
JIM,NUMA,18,8,446
JIM,O'KEEFE,12,4,474
JIM,SHAW,45,8,902
JIM,SUSIE,31,12,1196
JIM,X,31,6,973
MALE VOICE,VIRGINIA,13,2,77
OFFICIAL,RUBY,11,2,323
