speaker1,speaker2,line_count,scene_count,word_count
ARNOLD,ELLIE,15,6,214
ARNOLD,HAMMOND,26,9,356
DODGSON,NEDRY,10,3,137
ELLIE,GENNARO,10,5,181
ELLIE,GRANT,71,22,733
ELLIE,HAMMOND,31,12,528
ELLIE,HARDING,13,4,140
ELLIE,MALCOLM,39,11,379
ELLIE,MULDOON,32,15,323
GENNARO,HAMMOND,19,7,370
GENNARO,ROSTAGNO,13,4,182
GENNARO,TIM,11,3,67
GRANT,HAMMOND,33,12,511
GRANT,LEX,52,19,542
GRANT,MALCOLM,39,11,298
GRANT,TIM,56,18,577
HAMMOND,MALCOLM,23,8,556
HAMMOND,MULDOON,10,4,77
HAMMOND,NEDRY,7,1,150
LEX,TIM,29,12,251
