speaker1,speaker2,line_count,scene_count,word_count
BLACK NURSE,RUBY,19,4,123
CASPER,HAROLD,22,5,150
CASPER,HOODLUM,10,3,64
CASPER,JENNIE,6,1,62
CASPER,TELLY,166,33,1709
DARCY,TELLY,53,14,441
FIDGET,JENNIE,12,4,81
GIRL,TELLY,18,2,170
JENNIE,MISHA,10,1,95
JENNIE,PAUL,7,1,57
JENNIE,RUBY,39,11,310
JENNIE,TAMARA,7,2,39
JENNIE,TAXI DRIVER,32,7,489
JENNIE,WHITE NURSE,13,4,58
KOREAN STORE OWNER,TELLY,8,3,53
LINDA,RUBY,30,7,328
LINDA,SUSAN,11,4,126
MISHA,TELLY,16,3,96
MOM,TELLY,15,4,95
PAUL,TELLY,14,4,151
RUBY,SUSAN,18,6,239
STEVEN,TELLY,6,1,63
