speaker1,speaker2,line_count,scene_count,word_count
ALVAREZ,BILLY,16,4,138
ALVAREZ,TED,14,3,102
BILLY,TEACHER,10,3,24
BILLY,TED,151,42,1279
GRESSEN,JOANNA,20,4,446
GRESSEN,JUDGE,16,5,124
GRESSEN,O'CONNOR,9,2,150
GRESSEN,SHAUNESSY,18,9,203
INTERVIEWER,TED,10,2,212
JOANNA,SHAUNESSY,37,7,285
JOANNA,TED,72,17,1150
O'CONNOR,TED,31,10,627
PHYLLIS,TED,37,12,505
SATURDAY FATHER,TED,6,1,107
SECRETARY,TED,6,1,67
SHAUNESSY,TED,23,6,515
SHAUNESSY,THELMA,6,1,93
SHAUNESSY'S VOICE,TED,17,5,165
SURGEON,TED,8,2,62
TED,THELMA,78,17,1218
TED,WOMAN'S VOICE,6,1,88
