speaker1,speaker2,line_count,scene_count,word_count
BODYGUARD,TENZIN GYATSO,12,4,62
BOY,WOMAN,9,4,47
FATHER,TENZIN GYATSO,18,4,80
GENERAL CHIANG,LUKHANGWA,17,4,219
GENERAL CHIANG CHIN-WU,TENZIN GYATSO,10,3,71
KASHAG MEMBER,TENZIN GYATSO,28,9,298
LHAMO,MOTHER,19,6,157
LING RINPOCHE,TENZIN GYATSO,7,2,110
LOBSANG,TENZIN GYATSO,8,2,50
LORD CHAMBERLAIN,TENZIN GYATSO,70,24,753
MAN,MOTHER,6,1,29
MAO TSE TUNG,TENZIN GYATSO,14,5,292
MOTHER,TENZIN GYATSO,11,3,113
NOBLE BOY,TENZIN GYATSO,9,2,110
NORBU THUNDRUP,TENZIN GYATSO,46,12,400
TAKSTER RINPOCHE,TENZIN GYATSO,16,3,202
TAKTRA RINPOCHE,TENZIN GYATSO,11,3,80
TENZIN GYATSO,TIBETAN WOMAN,11,2,91
