speaker1,speaker2,line_count,scene_count,word_count
BOXER,JACK,10,2,123
BUD,DUDLEY,39,8,548
BUD,EXLEY,60,18,717
BUD,LYNN,71,14,731
BUD,MRS. LEFFERTS,21,7,274
BUD,PATCHETT,34,5,438
BUD,PINKER,20,3,209
BUD,STENSLAND,11,3,152
BUD,STOMPANATO,18,6,214
CHIEF,EXLEY,9,4,191
CLERK,EXLEY,11,3,83
COATES,EXLEY,26,4,343
COHEN,STOMPANATO,7,1,76
DUDLEY,EXLEY,53,13,630
DUDLEY,HUDGEONS,16,6,255
DUDLEY,JACK,18,5,243
EXLEY,JACK,56,13,631
EXLEY,LOEW,11,2,182
EXLEY,LYNN,48,12,625
EXLEY,MRS. LEFFERTS,12,3,104
EXLEY,PATCHETT,13,1,115
EXLEY,PINKER,8,3,139
EXLEY,YOUNG OFFICER,6,1,51
HUDGEONS,JACK,49,13,727
JACK,OPERATOR,8,2,60
JACK,REYNOLDS,16,5,124
JACK,VICE CAPTAIN,6,1,46
