speaker1,speaker2,line_count,scene_count,word_count
ANNA,CLAUDIA,14,5,133
ANNA,FATHER,14,4,172
ANNA,SANDRO,25,6,407
ANNA'S FATHER,MARSHAL,7,2,259
CARABINIERE,SANDRO,9,2,149
CLAUDIA,CORRADO,21,7,167
CLAUDIA,GIULIA,11,5,129
CLAUDIA,PATRIZIA,41,14,514
CLAUDIA,SANDRO,126,38,1733
CORRADO,GIULIA,24,9,322
CORRADO,MARSHAL,9,2,166
CORRADO,SANDRO,9,4,198
ETTORE,PATRIZIA,9,3,71
GIULIA,GOFFREDO,17,5,176
GIULIA,SANDRO,8,3,103
LIEUTENANT,YOUNG SAILOR,8,2,193
MAN'S VOICE,WOMAN'S VOICE,16,4,212
MARSHAL,SANDRO,7,1,77
MIDWIFE,SANDRO,7,2,91
OLD MAN,SANDRO,10,2,69
PATRIZIA,RAIMONDO,13,6,181
PATRIZIA,SANDRO,19,7,270
SANDRO,ZURIA,20,4,380
