speaker1,speaker2,line_count,scene_count,word_count
ADVISOR,ELLE,8,2,95
BROOKE,DONOVAN,21,5,177
BROOKE,ELLE,21,8,241
BROOKE,EMMETT,7,1,68
CHUTNEY,DONOVAN,7,1,64
CHUTNEY,ELLE,27,8,373
DEWEY,ELLE,7,2,50
DONOVAN,ELLE,27,11,260
DONOVAN,ENRIQUE,8,3,100
DORKY DAVID,ELLE,13,4,93
DORKY DAVID,PROFESSOR STROMWELL,9,3,45
ELLE,EMMETT,87,27,904
ELLE,FUZZY 2L,8,2,55
ELLE,GUARD,7,1,23
ELLE,MARGOT,37,15,399
ELLE,PAULETTE,42,13,642
ELLE,PROFESSOR DONOVAN,22,8,190
ELLE,SARAH,28,10,216
ELLE,SERENA,28,10,247
ELLE,WARNER,67,18,666
EMMETT,ENRIQUE,8,1,41
EMMETT,MRS. WINDHAM VANDERMARK,12,4,168
MARGOT,SERENA,17,8,122
