speaker1,speaker2,line_count,scene_count,word_count
ADAM,ROBIN,19,8,164
ADAM,RYAN,8,3,92
ADAM,SAM,12,4,56
ALYSSA,COLLEEN,20,8,135
ALYSSA,GEORGE,36,12,254
ALYSSA,KURT,15,6,228
ALYSSA,ROBIN,12,3,90
ALYSSA,SAM,82,20,602
BOB,GEORGE,21,7,162
BRYAN,GEORGE,44,10,570
COLLEEN,GEORGE,14,3,123
COLLEEN,SAM,22,6,123
COREY,SAM,8,2,120
GEORGE,KURT,21,8,271
GEORGE,NURSE,16,6,189
GEORGE,ROBIN,168,45,1690
GEORGE,RYAN,9,2,49
GEORGE,SAM,156,40,1774
JOSH,SAM,15,5,123
KURT,SAM,8,3,50
PETER,ROBIN,47,15,417
PETER,RYAN,10,3,39
PETER,SAM,10,5,69
ROBIN,RYAN,22,9,129
ROBIN,SAM,15,4,143
