speaker1,speaker2,line_count,scene_count,word_count
ADRIAN,CASSIUS,29,9,250
ADRIAN,JOHN,14,6,118
ADRIAN,NICKY,20,7,198
ANGEL,CHRISTA,10,5,97
ANGEL,NICKY,32,13,308
BEEFY,NICKY,47,15,582
BEEFY,TODD,10,5,84
DAD,DAN,7,1,102
DAD,JIMMY THE DEMON,9,4,98
DAD,LUCIFER,6,1,44
DAD,NICKY,43,16,594
GATEKEEPER,LUCIFER,10,2,135
GATEKEEPER,NICKY,11,3,54
JIMMY THE DEMON,NICKY,12,5,140
JOHN,NICKY,9,4,74
JOHN,PETER,23,11,149
JOHN,TODD,9,4,63
KATHY LEE,REGIS,9,1,97
NICKY,PETER,9,4,58
NICKY,STREET VENDOR,9,3,88
NICKY,STUDENT,11,3,80
NICKY,TODD,19,6,210
NICKY,VALERIE,81,21,815
