speaker1,speaker2,line_count,scene_count,word_count
BACON,EDDY,29,14,507
BACON,SAMOAN JO,8,1,87
BACON,SOAP,9,3,155
BACON,TOM,17,7,210
BARRY,DEAN,22,6,225
BARRY,GARY,10,3,156
BARRY,HATCHET,8,3,80
BIG CHRIS,DOG,10,3,91
BIG CHRIS,HATCHET,9,3,109
BIG CHRIS,JD,8,1,48
BIG CHRIS,JOHN O'DRISCOLL,9,3,107
BIG CHRIS,LITTLE CHRIS,10,3,63
DEAN,GARY,12,4,130
DEAN,NICK,9,1,81
DOG,JOHN,11,3,267
DOG,PLANK,26,10,400
DOG,WINSTON,15,5,142
DOORMAN,EDDY,7,1,81
EDDY,HATCHET,25,8,313
EDDY,SOAP,31,12,479
EDDY,TOM,27,11,274
HATCHET,JD,9,1,94
J,PLANK,16,3,183
NICK,TOM,22,6,310
PAUL,TRAFFIC WARDEN,8,2,57
SOAP,TOM,37,10,474
WILLY,WINSTON,9,2,161
