speaker1,speaker2,line_count,scene_count,word_count
AMADO,PALOMA,9,3,81
AMADO,PILAR,32,5,369
ATHENA,CLIFF,13,5,115
ATHENA,DEL,38,5,286
ATHENA,PRISCILLA,14,3,118
BEN,SAM,33,4,309
BUDDY,WADE,17,4,211
BUNNY,SAM,37,3,672
CAROLYN,DEL,21,4,223
CHET,DEL,27,9,202
CHET,OTIS,36,5,486
CHUCHO,SAM,11,2,165
CLIFF,MIKEY,39,7,373
CLIFF,PRISCILLA,19,4,192
CLIFF,SAM,10,3,97
CODY,SAM,11,2,229
DEL,MIKEY,8,3,106
DEL,OTIS,28,6,400
ELADIO,WADE,16,4,147
ELADIO,YOUNG MERCEDES,9,4,77
ENRIQUE,MERCEDES,33,7,313
FENTON,HOLLIS,23,10,380
H.L.,SAM,13,5,132
HOLLIS,SAM,62,15,845
JORGE,SAM,12,4,155
MARISOL,PILAR,13,1,124
MERCEDES,PILAR,29,3,326
MINNIE,SAM,23,1,313
MOLLY,PILAR,7,2,66
OTIS,SAM,13,4,185
PALOMA,PILAR,22,5,123
PETE,SAM,25,4,254
PILAR,SAM,89,19,870
RAY,SAM,27,4,190
RAY,SHADOW,8,2,95
RODERICK,WADE,9,3,104
SAM,WESLEY,17,3,256
SAM,ZACK,9,1,87
WADE,YOUNG OTIS,15,3,108
YOUNG PILAR,YOUNG SAM,7,2,49
