speaker1,speaker2,line_count,scene_count,word_count
BELLBOY,HARRY,10,3,53
BILLY,HARRY,37,10,266
BLONDE GIRL,HARRY,7,2,28
BUTTERFIELD,CULTISTS,7,2,32
BUTTERFIELD,DOROTHEA,9,2,92
BUTTERFIELD,HARRY,9,4,42
BUTTERFIELD,MILLER,14,4,125
BUTTERFIELD,QUAID,9,3,86
BUTTERFIELD,VALENTIN,13,5,64
DOROTHEA,HARRY,120,32,967
DOROTHEA,SWANN,11,2,72
DOROTHEA,VALENTIN,10,4,74
EDDISON,HARRY,16,4,148
HARRY,JENNIFER,19,4,149
HARRY,LOOMIS,11,1,84
HARRY,QUAID,14,3,109
HARRY,SWANN,60,14,527
HARRY,TOFFLER,10,2,113
HARRY,VALENTIN,82,15,600
HARRY,VINOVICH,22,7,174
HARRY,WILDER,26,5,255
NIX,SWANN,22,7,177
