speaker1,speaker2,line_count,scene_count,word_count
"""V""",PETE,24,8,132
AL,ED,24,9,161
AL,FRED,11,5,71
AL,RENEE,10,4,69
ALICE,PETE,82,19,582
ANDY,FRED,8,2,70
ARNIE,PETE,7,2,72
BILL,CLAIRE,8,3,47
BILL,PETE,29,7,226
BILL,WARDEN,10,3,84
CAPTAIN HENDERSON,JOHNNY MACK,8,2,50
CAPTAIN HENDERSON,WARDEN,16,4,148
CLAIRE,PETE,10,5,44
CLAIRE,WARDEN,9,3,70
DR. ROGOFF,WARDEN,9,4,83
DRIVER,MR. EDDY,8,2,136
ED,FRED,9,4,63
FRED,GUARD,11,3,90
FRED,MYSTERY MAN,10,2,65
FRED,RENEE,67,21,449
MARIAN,RAQUEL,9,2,114
MR. EDDY,PETE,53,13,431
PETE,SHEILA,51,13,268
PETE,VOICE,7,2,123
