speaker1,speaker2,line_count,scene_count,word_count
CLAIRE,FATHER JAMES,10,4,84
CLAIRE,PETER,61,19,586
DEFENSE ATTORNEY,MR. SILBERMAN,9,1,76
DEFENSE ATTORNEY,VIZNICK,7,2,71
DR. ALLEN,LAREAUX,8,1,109
DR. ALLEN,MAYA,7,2,80
DR. ALLEN,PETER,9,3,126
FATHER FRANK,MAYA,15,5,212
FATHER JAMES,PETER,25,4,391
LAREAUX,MAYA,21,8,201
MAYA,PETER,144,39,1746
MAYA,RECEPTIONIST,13,3,121
MAYA,TOWNSEND,19,5,171
MELVIN,PETER,10,4,111
MICHAEL,PETER,7,1,57
MRS. QUINTANA,PETER,9,3,76
PETER,SALLY,19,2,375
PETER,SMYTHE,34,11,432
