speaker1,speaker2,line_count,scene_count,word_count
ARTHUR,BOBBY,7,1,110
AUDREY,BOBBY,8,2,53
BARTENDER,HORRACE,7,1,52
BELLMAN,RICKY,33,2,267
BIANCA,CYNTHIA,14,3,104
BIANCA,RICKY,12,4,194
BOBBY,CHLOE,27,7,174
BOBBY,DOORMAN,10,2,54
BOBBY,HISPANIC KID,7,1,48
BOBBY,HORNY GUY,12,3,103
BOBBY,HORRACE,62,12,616
BOBBY,JESS,60,9,620
BOBBY,JIMMY,33,9,185
BOBBY,MAX,71,7,952
BOBBY,RICKY,295,45,2838
BOBBY,RUIZ,16,7,283
BOBBY,WELSHMAN,7,2,24
BOBBY,WENDY,11,2,105
CYNTHIA,RICKY,14,5,89
DOORMAN,RICKY,15,3,119
DOORMAN,SCREECH,7,1,25
FLIGHT ATTENDANT,RICKY,19,3,161
HORRACE,RICKY,27,8,285
HORRACE,RUIZ,8,3,64
HORRACE,WELSHMAN,33,9,264
JIMMY,RICKY,20,5,108
LEO,RUIZ,8,2,49
MAX,RICKY,28,6,411
RICKY,RUIZ,25,8,352
RICKY,WELSHMAN,14,4,137
