speaker1,speaker2,line_count,scene_count,word_count
AVI,DONNIE,11,3,141
BURT,JIMMY,18,4,219
CHAD,JANET,7,2,61
CHAD,PHIL,28,3,395
CLAUDIA,JIM KURRING,175,24,2040
CLAUDIA,JIMMY,36,6,435
CLAUIDA,JIM KURRING,10,3,33
COCKTAIL WAITRESS,DONNIE,8,2,34
CYNTHIA,RICHARD,8,3,85
CYNTHIA,STANLEY,26,5,221
DIXON,JIM KURRING,41,4,572
DIXON,WORM,25,5,263
DOC,JANET,14,4,126
DONNIE,SOLOMON,29,8,463
DONNIE,THURSTON,55,10,1033
DR. LANDON,LINDA,17,2,524
EARL,PHIL,57,8,900
FEMALE VOICE,PHIL,9,1,42
FRANK,GWEN,43,3,470
FRANK,GWENOVIER,58,8,1112
FRANK,PHIL,42,7,416
JIM KURRING,MARCIE,65,9,725
JIMMY,MARY,11,2,106
JIMMY,MIDDLE AGED GUY,16,4,81
JIMMY,PAULA,24,4,280
JIMMY,ROSE,86,13,693
JIMMY,STANLEY,10,5,142
JULIA,RICHARD,9,3,111
JULIA,STANLEY,11,4,93
KLIGMAN,LINDA,33,3,777
LINDA,PHIL,12,3,295
LINDA,YOUNG PHARMACY KID,10,4,110
PHIL,PINK DOT GIRL,28,1,122
RICHARD,STANLEY,14,6,129
RICK,STANLEY,40,11,319
STANLEY,WORM,28,5,240
