speaker1,speaker2,line_count,scene_count,word_count
ARCHIE,MALCOLM,87,25,774
ARCHIE,SAMMY,8,3,60
BEMBRY,MALCOLM,103,25,1512
BENJAMIN,MALCOLM,9,4,110
BENJAMIN 2X,MALCOLM,11,4,89
BETTY,MALCOLM,103,22,1234
BROTHER EARL,MALCOLM,23,6,307
CHAPLAIN GILL,MALCOLM,16,4,171
DR. PAYSON,MALCOLM,11,3,272
ELIJAH,MALCOLM,9,3,111
GREGORY,MALCOLM,7,1,33
HONEY,MALCOLM,12,4,89
JUDGE,VOICE OF MALCOLM X,7,2,125
LAURA,MALCOLM,15,5,132
LOUISE,MISS DUNNE,11,1,99
MALCOLM,PLAINCLOTHES,8,3,63
MALCOLM,RUDY,14,4,128
MALCOLM,SHORTY,39,13,380
MALCOLM,SIDNEY,18,3,177
MALCOLM,SISTER LUCILLE,6,1,71
MALCOLM,SOPHIA,20,9,142
MALCOLM'S VOICE,MRS. SWERLIN,9,1,114
