speaker1,speaker2,line_count,scene_count,word_count
CREASY,CUSTOMS,8,2,45
CREASY,DANIEL,18,5,133
CREASY,GUARDIAN TWO,18,4,124
CREASY,JORGE,28,7,233
CREASY,LISA,37,12,386
CREASY,MANZANO,32,8,465
CREASY,PINTA,143,37,1227
CREASY,RAYBURN,63,19,682
CREASY,REINA,11,4,52
CREASY,ROSANNA,26,8,292
CREASY,SAMUEL,15,4,117
CREASY,SISTER ANNA,8,1,74
CREASY,TAZINARI,24,6,188
CREASY'S VOICE,ROSANNA,7,1,32
JORDAN,SAMUEL,17,5,272
JORDAN,VOICE,9,2,125
LISA,PINTA,18,8,141
LISA,SAMUEL,30,9,253
MANZANO,RAYBURN,26,4,373
MANZANO,ROSANNA,23,10,293
