speaker1,speaker2,line_count,scene_count,word_count
BLOOM,CRAWFORD,19,1,348
BLOOM,GRAHAM,9,3,283
BOWMAN,CRAWFORD,18,6,286
BOWMAN,GRAHAM,10,3,144
CHESTER,GRAHAM,7,1,64
CRAWFORD,GRAHAM,147,35,1922
CRAWFORD,MOLLY,12,3,136
CRAWFORD,SARAH,10,4,93
DOLLARHYDE,LOUNDS,51,10,446
DOLLARHYDE,REBA,60,19,553
DOLLARHYDE,RED DRAGON,8,3,94
DR. CHILTON,GRAHAM,16,6,382
DR. CHILTON,GUARD,8,3,63
GRADUATE STUDENT,LECKTOR,16,2,169
GRAHAM,GRAMPA,9,1,131
GRAHAM,KEVIN,34,5,409
GRAHAM,LECKTOR,75,9,964
GRAHAM,MOLLY,89,16,986
GRAHAM,OFFICER,9,2,71
GRAHAM,SHERMAN,8,2,71
GRAHAM,SPRINGFIELD,26,4,325
GRAHAM,SPURGEN,12,2,136
GRAHAM,VOICE,21,4,182
