speaker1,speaker2,line_count,scene_count,word_count
ANDY,DR. KEEGAN,10,2,151
ANGIE,MARTY,63,13,791
BARTENDER,MARTY,7,2,72
CATHERINE,MRS. PILLETTI,58,11,1007
CLARA,MARTY,80,21,1679
CLARA,MRS. PILLETTI,18,5,338
DR. KEEGAN,GIRL,7,1,50
DR. KEEGAN,MARTY,9,1,151
FIRST IRISH WOMAN,SECOND IRISH WOMAN,9,3,108
JOE,LEO,9,4,207
MARTY,MRS. FUSARI,12,4,277
MARTY,MRS. PILLETTI,65,18,883
MARTY,RALPH,25,6,226
MARTY,THOMAS,19,6,465
MRS. PILLETTI,THOMAS,25,9,406
MRS. PILLETTI,VIRGINIA,19,5,492
THOMAS,VIRGINIA,27,9,330
