speaker1,speaker2,line_count,scene_count,word_count
DAGO RED,HAWKEYE,17,6,320
DUKE,FRANK,14,5,141
DUKE,HAWKEYE,102,37,1283
DUKE,HENRY,21,8,271
DUKE,HO-JON,8,3,91
DUKE,SPEARCHUCKER,8,3,115
DUKE,TRAPPER,32,10,327
FRANK,HAWKEYE,10,4,107
FRANK,HOT LIPS,20,5,189
GENERAL HAMMOND,HAWKEYE,23,6,415
GENERAL HAMMOND,HENRY,9,2,121
HAWKEYE,HENRY,26,11,375
HAWKEYE,HO-JON,14,6,145
HAWKEYE,HOT LIPS,18,3,372
HAWKEYE,KOREAN DOCTOR,7,1,155
HAWKEYE,LIEUTENANT DISH,53,8,640
HAWKEYE,LIEUTENANT SCORCH,7,2,34
HAWKEYE,ME LAY,17,6,282
HAWKEYE,MEDICAL CORPS SERGEANT,6,1,50
HAWKEYE,PAINLESS,30,9,453
HAWKEYE,RADAR,8,3,108
HAWKEYE,SECOND MEDICAL CORPS SERGEANT,10,2,64
HAWKEYE,SPEARCHUCKER,12,4,194
HAWKEYE,TRAPPER,82,33,1281
HENRY,RADAR,27,6,189
HENRY,SPEARCHUCKER,10,4,108
HENRY,TRAPPER,10,4,111
HOT LIPS,TRAPPER,7,2,90
ME LAY,TRAPPER,17,7,271
TRAPPER,UGLY JOHN,8,3,66
