speaker1,speaker2,line_count,scene_count,word_count
ALLISON,DREW,13,5,80
ALLISON,PARRISH,54,12,732
ALLISON,QUINCE,14,5,159
ALLISON,SUSAN,16,7,187
AMBROSE,QUINCE,11,3,86
BONTECOU,PARRISH,7,1,120
COYLE,JOE,11,4,87
DREW,JOE,41,13,445
DREW,PARRISH,108,32,1206
DREW,QUINCE,41,11,549
DREW,SLOANE,9,3,100
DREW,SUSAN,17,5,193
EASTER,JOE,35,6,243
JENNIFER,PARRISH,16,4,86
JOE,PARRISH,212,53,2264
JOE,QUINCE,40,12,437
JOE,SUSAN,161,47,1249
PARRISH,QUINCE,31,10,425
PARRISH,SLOANE,21,5,363
PARRISH,SUSAN,119,35,1302
PARRISH,VOICE,46,11,514
PARRISH,YOUNG MAN,23,6,203
SUSAN,YOUNG MAN,48,11,521
