speaker1,speaker2,line_count,scene_count,word_count
ANN,COLONEL,18,4,127
ANN,CONNELL,91,27,1421
ANN,D. B.,31,10,323
ANN,EDDIE,7,2,64
ANN,JOE,6,1,73
ANN,JOHN,80,21,851
ANN,MOTHER,26,3,490
ANN,TALL CHAP,8,1,52
BEANY,COLONEL,23,9,243
BEANY,CONNELL,29,11,275
BERT,BERT'S WIFE,8,3,215
BERT,SOURPUSS,18,7,375
COLONEL,JOHN,25,8,337
CONNELL,D. B.,13,3,157
CONNELL,JOHN,26,10,454
CONNELL,POP,10,4,197
CONNELL,TALL CHAP,10,4,73
D. B.,JOHN,23,4,461
JOHN,MIKE,23,5,361
JOHN,MRS. MITCHELL,21,6,278
MAYOR,SECRETARY,16,3,187
