speaker1,speaker2,line_count,scene_count,word_count
BARTENDER,CROCKETT,8,2,57
CASTILLO,CROCKETT,16,5,176
CASTILLO,FUJIMA,15,4,259
CASTILLO,TUBBS,23,7,196
COLEMAN,EL TIBURON,13,1,79
CROCKETT,FUJIMA,35,10,478
CROCKETT,GINA,8,3,141
CROCKETT,ISABELLA,111,28,1413
CROCKETT,JOSÉ YERO,30,12,401
CROCKETT,STEVENS,19,5,197
CROCKETT,TRUDY,9,3,54
CROCKETT,TUBBS,84,26,884
FUJIMA,TUBBS,15,6,236
GINA,TUBBS,24,8,312
ISABELLA,MONTOYA,15,5,221
ISABELLA,TUBBS,13,5,231
JOSÉ YERO,TUBBS,21,10,342
STEVENS,TUBBS,8,3,65
