speaker1,speaker2,line_count,scene_count,word_count
AGATHA,ANDERTON,55,18,416
ANDERTON,BURGESS,62,15,702
ANDERTON,CROW,34,11,347
ANDERTON,DR. EDDIE,37,10,414
ANDERTON,FLETCHER,16,4,196
ANDERTON,GIDEON,30,11,324
ANDERTON,IRIS,68,12,940
ANDERTON,JAD,42,14,422
ANDERTON,LARA,13,4,79
ANDERTON,RUFUS,26,8,263
ANDERTON,SEAN,34,7,243
ANDERTON,WALLY,20,9,268
ANDERTON,WITWER,46,12,537
ANDERTON'S VOICE,LARA,6,1,66
BURGESS,LARA,22,8,289
BURGESS,SECRETARY,12,5,67
BURGESS,WITWER,39,11,519
CUSTOMER,RUFUS,8,2,106
FLETCHER,KNOTT,9,4,121
FLETCHER,WITWER,41,15,497
HOWARD,SARAH,13,5,86
LARA,WITWER,38,8,359
WALLY,WITWER,12,3,134
