speaker1,speaker2,line_count,scene_count,word_count
AL CAPONE,CHARLIE,10,3,120
AL CAPONE,LUCIANO,10,2,120
AL CAPONE,MANAGER,7,2,75
BOBBY CLOWES,LUCIANO,9,2,72
BOO-BOO HOFF,LANSKY,6,1,63
CAPONE,LUCIANO,9,3,74
CHARLIE,GAY ORLOVA,12,2,61
CHARLIE,ROTHSTEIN,13,5,281
CHARLIE,SIEGEL,9,4,58
DETECTIVE MULLAVEY,FRANK,8,1,99
FRANK,LANSKY,8,3,129
FRANK,LUCIANO,14,5,200
FRANK,SIEGEL,14,6,149
GAY ORLOVA,LUCIANO,44,13,274
JOE PROFACI,LUCIANO,10,3,200
LANSKY,LUCIANO,51,14,573
LANSKY,SIEGEL,13,5,131
LUCIANO,MARANZANO,53,16,517
LUCIANO,MASSERIA,66,18,748
LUCIANO,ROTHSTEIN,19,4,260
LUCIANO,SIEGEL,29,11,329
MAD DOG COLL,MARANZANO,11,2,61
REINA,SIEGEL,13,4,99
