speaker1,speaker2,line_count,scene_count,word_count
ALL,BEDEVERE,18,6,158
ARTHUR,BEDEVERE,39,15,782
ARTHUR,BLACK KNIGHT,37,6,192
ARTHUR,DENNIS,32,6,332
ARTHUR,GOD,8,1,115
ARTHUR,MAN,13,2,217
ARTHUR,OLD WOMAN,17,3,261
ARTHUR,SOLDIER,25,4,279
ARTHUR,SOOTHSAYER,7,2,81
ARTHUR,TALL KNIGHT,34,6,277
ARTHUR,TIM,35,10,164
BEDEVERE,FIRST VILLAGER,11,4,83
BODY,LARGE MAN,10,4,71
BRIDGEKEEPER,LAUNCELOT,9,1,57
BRIDGEKEEPER,ROBIN,9,1,62
CART DRIVER,LARGE MAN,18,6,101
CONCORDE,LAUNCELOT,13,3,121
FATHER,FIRST GUARD,33,7,297
FATHER,LAUNCELOT,19,6,210
FATHER,PRINCE,29,6,361
GALAHAD,LAUNCELOT,25,8,145
GALAHAD,PIGLET,9,3,60
GALAHAD,ZOOT,15,5,184
LAUNCELOT,PRINCE,11,3,106
OTHER KNIGHTS,TALL KNIGHT,11,5,136
ROBIN,SINGERS,10,3,118
ROBIN,TIM,8,3,121
