speaker1,speaker2,line_count,scene_count,word_count
AVA,GREGORY,6,1,77
BOBO,MR. JOHNNY,10,3,57
COSMO,LORETTA,48,4,383
COSMO,MONA,12,4,112
COSMO,MR. JOHNNY,8,2,57
COSMO,RAYMOND,7,2,220
COSMO,ROSE,30,10,218
FELIX,OLD MAN,12,6,135
LORETTA,MR. JOHNNY,75,18,636
LORETTA,PRIEST,12,1,131
LORETTA,RAYMOND,13,4,79
LORETTA,RITA,14,6,64
LORETTA,RONNY,212,38,2226
LORETTA,ROSE,51,9,387
LUCY,OLD MAN,16,4,185
MR. JOHNNY,RONNY,12,3,73
MR. JOHNNY,ROSE,32,7,350
PERRY,ROSE,48,9,518
PERRY,SHY WAITER,16,6,152
PERRY'S VOICE,ROSE'S VOICE,8,1,40
RAYMOND,RITA,29,7,259
