speaker1,speaker2,line_count,scene_count,word_count
2ND BODYGUARD,LONGFELLOW,9,4,79
AGENT,CEDAR,11,3,75
AMY,JANE,26,11,127
APPLICANT,LONGFELLOW,7,1,36
BABE,CEDAR,31,6,208
BABE,LONGFELLOW,122,34,1416
BABE,LONGFELLOW'S VOICE,7,2,41
BABE,MABEL,35,8,378
BABE,MAC,55,11,717
BOB,FRANK,14,6,90
BUDINGTON,CEDAR,12,3,185
BUTLER,LONGFELLOW,33,8,219
BUTLERS,FARMER,6,1,34
CEDAR,COBB,26,9,308
CEDAR,FIRST BROTHER,10,3,101
CEDAR,JUDGE,16,7,106
CEDAR,LONGFELLOW,53,14,678
CEDAR,MRS. MEREDITH,10,2,129
CEDAR,VOICE,10,2,49
COBB,LONGFELLOW,76,17,993
DOUGLAS,LONGFELLOW,25,7,318
DR. FOSDICK,VON HOLLER,7,1,74
FARMER,LONGFELLOW,10,4,213
HALLOR,LONGFELLOW,31,9,401
HENABERRY,LONGFELLOW,10,5,74
JUDGE,LONGFELLOW,20,8,327
LONGFELLOW,MABEL,13,4,134
LONGFELLOW,MORROW,12,4,337
LONGFELLOW,MRS. MEREDITH,14,6,228
LONGFELLOW,SVENSON,9,1,30
LONGFELLOW,WAITER,10,3,51
LONGFELLOW,WALTER,68,17,629
