speaker1,speaker2,line_count,scene_count,word_count
BOY,JEFFERSON,17,1,362
CHAIRMAN,JEFFERSON,16,2,145
COOK,MCGANN,9,4,75
DIZ,SAUNDERS,149,24,2017
EMMA,HUBERT,33,8,329
GRIFFITH,PAINE,9,1,102
HUBERT,JEFFERSON,16,4,182
HUBERT,JIMMIE,8,3,90
HUBERT,MA,13,5,106
HUBERT,MCGANN,11,4,181
HUBERT,OTIS,8,3,50
HUBERT,PETER,9,4,84
HUBERT,TAYLOR,34,8,466
JEFFERSON,MA,22,6,174
JEFFERSON,MCGANN,19,6,180
JEFFERSON,NOSEY,11,4,148
JEFFERSON,PAINE,66,13,1115
JEFFERSON,PRESIDENT,20,9,430
JEFFERSON,SAUNDERS,221,27,3014
JEFFERSON,SENATOR,14,4,172
JEFFERSON,SPIELER,6,1,60
JEFFERSON,SUSAN,26,5,329
JEFFERSON,TAYLOR,11,2,294
JEFFERSON,VOICES,11,4,178
MCGANN,PAINE,34,11,452
MCGANN,SAUNDERS,13,3,157
NOSEY,SAUNDERS,9,3,114
PAINE,PRESIDENT,18,8,313
PAINE,SAUNDERS,41,3,746
PAINE,SUSAN,15,5,132
PAINE,TAYLOR,53,9,1144
