speaker1,speaker2,line_count,scene_count,word_count
ARCHIE,BROWN,74,16,812
ASSISTANT DRESSER,BROWN,9,2,52
BARNEY,BROWN,10,2,88
BERTIE,BROWN,15,4,97
BERTIE,DISRAELI,16,2,205
BERTIE,VICTORIA,18,4,254
BERTIE'S VALET,BROWN,11,4,101
BROWN,DISRAELI,59,11,466
BROWN,PONSONBY,43,10,631
BROWN,VICTORIA,94,22,908
DEAN WELLSELLY,DISRAELI,7,2,48
DISRAELI,STANLEY,24,5,266
DISRAELI,VICTORIA,13,5,188
JENNER,PONSONBY,17,6,125
JENNER,VICTORIA,13,4,123
LADY ELY,VICTORIA,19,4,128
PONSONBY,VICTORIA,32,9,417
PRINCESS ALEXANDRA,VICTORIA,10,2,88
