speaker1,speaker2,line_count,scene_count,word_count
ALTHEA,MUMFORD,31,7,518
COOK,MUMFORD,22,5,279
CORRECTIONAL OFFICER,MUMFORD,6,1,31
DELBANCO,MUMFORD,24,9,352
DELBANCO,SHEELER,14,6,188
FOLLETT,MUMFORD,50,13,472
GILROY,MUMFORD,8,3,102
JEREMY,MUMFORD,24,5,264
JUDGE OTTO,MUMFORD,14,3,178
LILY,MUMFORD,52,14,530
LILY,SKIP,15,4,102
LIONEL,MUMFORD,17,7,246
MARTIN,MUMFORD,19,4,118
MRS. COOK,MUMFORD,24,7,169
MRS. COOK,SOFIE,9,3,65
MUMFORD,NESSA,49,10,812
MUMFORD,SHEELER,14,5,257
MUMFORD,SKIP,166,43,2134
MUMFORD,SOFIE,176,39,2223
