speaker1,speaker2,line_count,scene_count,word_count
ALFRED,VADA,17,5,182
BOY,VADA,19,4,198
DARYL,NICK,13,4,155
DARYL,VADA,17,6,210
HARRY,SHELLY,31,12,388
HARRY,VADA,80,20,987
HILLARY,VADA,13,4,143
JEFFREY,VADA,42,10,471
JUDY,VADA,25,7,308
KEVIN,VADA,11,3,185
MAN,ROSE,9,1,59
MAN,VADA,10,4,69
MR. OWETT,VADA,11,3,112
NICK,PHIL,11,2,63
NICK,ROSE,17,4,138
NICK,VADA,136,37,1256
PHIL,ROSE,33,11,479
PHIL,SAM,12,4,189
PHIL,VADA,41,11,488
ROSE,SAM,33,6,273
ROSE,VADA,12,5,124
SHELLY,VADA,43,10,414
STANLEY,VADA,13,3,182
