speaker1,speaker2,line_count,scene_count,word_count
ALEXANDER,CAULAINCOURT,9,2,596
ALEXANDER,GENERAL KUTUSOV,34,4,986
ALEXANDER,NAPOLEON,13,2,281
BARRAS,NAPOLEON,39,4,364
BELLIARD,NAPOLEON,20,2,330
BERTRAND,NAPOLEON,16,3,359
BOURRIENNE,NAPOLEON,9,3,132
CHARLES,NAPOLEON,15,4,166
CORSICAN,NAPOLEON,19,3,184
DIDIER,PICART,6,1,49
DUROC,NAPOLEON,16,2,191
DUROC,SCHWARZENBURG,13,2,241
EUGENE,NAPOLEON,17,1,222
FRANCIS,NAPOLEON,21,5,219
GIRL,NAPOLEON,28,5,243
JOSEPH,NAPOLEON,30,6,469
JOSEPHINE,MONTESQUIOU,7,1,131
JOSEPHINE,NAPOLEON,72,11,805
JUNOT,NAPOLEON,62,12,683
MAJOR FIDON,RUSSIAN GENTLEMAN,8,1,200
MARIE-LOUISE,NAPOLEON,26,5,403
NAPOLEON,NARRATOR,16,8,503
NAPOLEON,ORDERLY,14,4,51
NAPOLEON,TALLEYRAND,22,2,455
NAPOLEON,VARLAC,11,4,256
