speaker1,speaker2,line_count,scene_count,word_count
ALBUQUERQUE,LINNEA,7,1,59
ALBUQUERQUE,STAR,20,3,136
BARBARA JEAN,BARNETT,17,5,115
BARBARA JEAN,GREEN,23,7,256
BARNETT,REESE,20,2,112
BARNETT,TRIPLETTE,33,7,302
BILL,MARY,10,5,49
BILL,TOM,13,6,66
BILL,TRIPLETTE,20,7,92
BUD,OPAL,15,3,108
BUD,REESE,11,3,73
GREEN,KENNY,17,6,223
GREEN,L.A. JOAN,17,4,132
GREEN,NURSE,15,5,121
JOAN,KENNY,13,2,135
KENNY,MAN,10,2,50
KENNY,MOTHER,32,4,256
KENNY,STAR,12,2,45
LINNEA,OPAL,18,1,168
LINNEA,TOM,57,12,296
LINNEA,WADE,21,4,154
LINNEA,WOMAN'S VOICE,9,1,38
MANAGER,SUELEEN,10,4,108
MARY,NORMAN,6,1,16
MARY,TRIPLETTE,16,6,70
NORMAN,TOM,8,2,50
OPAL,TOM,13,2,110
OPAL,TRIPLETTE,10,2,60
REESE,TRIPLETTE,32,2,249
SUELEEN,TRIPLETTE,9,3,108
SUELEEN,WADE,16,4,141
