speaker1,speaker2,line_count,scene_count,word_count
ALL THREE RUSSIANS,NINOTCHKA,10,4,48
ANNA,NINOTCHKA,52,5,669
BULJANOFF,IRANOFF,34,16,377
BULJANOFF,KOPALSKI,37,17,457
BULJANOFF,LEON,12,5,143
BULJANOFF,MANAGER,7,2,39
BULJANOFF,NINOTCHKA,39,15,502
GASTON,LEON,24,4,367
GASTON,SWANA,9,3,72
GENERAL SAVITZKY,SWANA,10,3,102
HEADWAITER,SWANA,9,3,74
IRANOFF,KOPALSKI,41,19,552
IRANOFF,LEON,24,8,277
IRANOFF,MANAGER,12,4,94
IRANOFF,NINOTCHKA,29,9,244
KOPALSKI,LEON,14,5,242
KOPALSKI,NINOTCHKA,35,14,547
LAWYER,NINOTCHKA,9,2,106
LEON,MANAGER,6,1,76
LEON,NINOTCHKA,324,57,4642
LEON,OFFICIAL,35,2,399
LEON,SWANA,115,19,1970
NINOTCHKA,PORTER,7,2,33
NINOTCHKA,PČRE MATHIEU,9,2,107
NINOTCHKA,RAZININ,29,3,521
NINOTCHKA,SWANA,61,12,1327
NINOTCHKA,TAXI DRIVER,9,1,56
RAKONIN,SWANA,13,2,151
