speaker1,speaker2,line_count,scene_count,word_count
BUZHARDT,NIXON,11,5,163
CUSHMAN,NIXON,14,2,165
DEAN,HUNT,12,2,196
DEAN,NIXON,35,10,835
EHRLICHMAN,HALDEMAN,24,6,323
EHRLICHMAN,NIXON,65,22,1268
HAIG,NIXON,66,18,1085
HALDEMAN,NIXON,158,47,3032
HANNAH,RICHARD,24,7,315
HAROLD,RICHARD,13,5,156
HELMS,NIXON,53,11,983
HOOVER,NIXON,41,11,761
HOOVER,TOLSON,11,4,168
HUNT,LIDDY,9,3,151
HUNT,STURGIS,13,3,104
JONES,NIXON,32,11,709
KISSINGER,MAO,6,1,69
KISSINGER,NIXON,57,18,1309
MANOLO,NIXON,14,3,90
MAO,NIXON,11,4,157
MITCH,NIXON,9,3,130
MITCHELL,NIXON,42,11,785
NIXON,PAT,124,29,1776
NIXON,ROCKEFELLER,27,5,348
NIXON,SANDY,15,4,142
NIXON,STUDENT 2,11,3,315
NIXON,TOLSON,10,4,108
NIXON,YOUNG WOMAN,10,4,206
NIXON,ZIEGLER,34,12,474
