speaker1,speaker2,line_count,scene_count,word_count
BELL,CARLA JEAN,26,5,240
BELL,ELLIS,43,8,549
BELL,LORETTA,24,5,222
BELL,MOLLY,12,3,167
BELL,ROSCOE,28,5,325
BELL,WENDELL,74,20,603
CARLA JEAN,CHIGURH,16,3,144
CARLA JEAN,MOSS,71,14,488
CARLA JEAN,MOTHER,7,2,62
CHIGURH,MAN,21,8,101
CHIGURH,MAN AT CHAIR,8,3,42
CHIGURH,MOSS,19,4,223
CHIGURH,PROPRIETOR,72,14,528
CHIGURH,WELLS,16,3,146
CHIGURH,WOMAN,15,3,86
CLERK,MOSS,23,5,180
DRIVER,MOSS,9,2,77
MAN,WELLS,24,6,211
MOSS,OFFICIAL,20,1,148
MOSS,WELLS,48,8,420
MOSS,WOMAN,24,6,155
