speaker1,speaker2,line_count,scene_count,word_count
BARTENDER,DUFF,6,1,58
DORIS,DUFF,7,2,29
DORIS,FRANKIE,10,2,65
DRIVER,DUFF,11,4,114
DUFF,EFFIE,21,4,173
DUFF,FOREMAN,9,1,43
DUFF,FRANKIE,22,7,142
DUFF,JOCKO,9,3,77
DUFF,JOE,18,6,167
DUFF,JOSIE,233,48,1983
DUFF,LEE,27,4,190
DUFF,OWNER,18,6,135
DUFF,REVEREND DAWSON,36,6,467
DUFF,SUPERVISOR,18,3,202
DUFF,UNDERTAKER,15,2,70
DUFF,WHITE,12,4,71
DUFF,WILL,32,8,211
FRANKIE,JOCKO,14,5,152
JOCKO,POP,6,1,49
JOHNSON,REVEREND DAWSON,6,1,62
LEE,WILL,27,8,259
