speaker1,speaker2,line_count,scene_count,word_count
ANNA,BELLA,9,4,67
ANNA,BERNIE,9,1,163
ANNA,JAMES,12,3,180
ANNA,JEFF,9,4,77
ANNA,MARTIN,6,1,71
ANNA,MAX,10,4,60
ANNA,THIEF,9,2,50
ANNA,WILLIAM,280,73,3493
BELLA,BERNIE,12,3,134
BELLA,MAX,10,3,51
BELLA,WILLIAM,16,6,130
BERNIE,MAX,10,4,115
BERNIE,WILLIAM,10,3,163
GIRL,WILLIAM,7,1,39
HONEY,SPIKE,9,3,43
HONEY,WILLIAM,9,3,146
JEFF,WILLIAM,14,2,136
KAREN,WILLIAM,12,5,90
MALE LEAD,WILLIAM,8,1,71
MARTIN,WILLIAM,27,7,308
MAX,WILLIAM,38,12,408
RITZ MAN,WILLIAM,13,4,152
SECURITY,WILLIAM,7,1,62
SPIKE,WILLIAM,87,23,908
TARQUIN,WILLIAM,12,5,82
THIEF,WILLIAM,13,1,133
