speaker1,speaker2,line_count,scene_count,word_count
BALLARD,BETTY,11,3,91
BALLARD,DOCTOR,9,2,119
BALLARD,ROY,93,22,1149
BETTY,CHARLIE,49,13,830
BETTY,CHIEF NURSE,13,3,227
BETTY,DEL,35,9,413
BETTY,ELLEN,43,9,553
BETTY,GEORGE,84,20,1334
BETTY,JOYCE,14,2,125
BETTY,LYLA,8,3,98
BETTY,ROSA,118,30,1524
BETTY,ROY,23,5,225
BETTY,SUE ANN,39,7,432
BLAKE,LONNIE,6,1,75
CHARLIE,DARLENE,10,1,117
CHARLIE,DEL,36,10,395
CHARLIE,DUANE,12,3,126
CHARLIE,ELIZABETH,7,2,111
CHARLIE,GEORGE,8,2,88
CHARLIE,WESLEY,167,45,2712
DEL,WESLEY,12,5,76
GEORGE,LYLA,41,10,592
GUARD,WESLEY,9,2,39
JERROLD,WESLEY,7,2,106
JOYCE,ROY,14,4,201
MERCEDES,ROSA,13,2,197
ROY,WESLEY,8,2,55
SUE ANN,WESLEY,17,4,176
