speaker1,speaker2,line_count,scene_count,word_count
BARNEY,TERRY,6,1,53
BIG MAC,COUNSEL,7,1,87
BIG MAC,NOLAN,6,1,121
CHARLEY,JOHNNY,31,6,650
CHARLEY,TERRY,69,12,966
EDIE,FATHER BARRY,17,5,192
EDIE,POP,20,3,558
EDIE,TERRY,220,42,2527
FATHER BARRY,NOLAN,21,4,277
FATHER BARRY,TERRY,39,6,658
GLOVER,TERRY,41,10,472
J.P.,NOLAN,8,2,78
JACKIE,TERRY,9,4,84
JIMMY,TERRY,20,5,246
JOCKO,TERRY,13,5,61
JOEY,TERRY,7,2,57
JOHNNY,SKINS,7,2,45
JOHNNY,TERRY,45,11,679
MRS. COLLINS,TERRY,7,2,50
MUTT,TERRY,11,3,139
NOLAN,POP,9,4,169
NOLAN,TERRY,9,2,77
