speaker1,speaker2,line_count,scene_count,word_count
BIG NURSE,BILLY,28,8,194
BIG NURSE,HARDING,19,5,407
BIG NURSE,MCMURPHY,103,28,1231
BIG NURSE,WASHINGTON,8,3,54
BILLY,MCMURPHY,64,22,536
BROMDEN,MCMURPHY,13,2,132
CANDY,ROSE,13,5,111
CHESWICK,MCMURPHY,34,13,182
FREDRICKSON,MCMURPHY,13,5,108
FREDRICKSON,SEFELT,12,6,47
HARDING,MARTINI,9,2,41
HARDING,MCMURPHY,68,19,636
HARDING,SEFELT,10,2,87
MARTINI,MCMURPHY,28,12,211
MARTINI,SCANLON,16,7,53
MCMURPHY,MISS PILBOW,12,4,66
MCMURPHY,NURSE ITSU,14,4,73
MCMURPHY,NURSE PILBOW,9,2,81
MCMURPHY,PATIENTS,7,1,69
MCMURPHY,ROSE,14,5,174
MCMURPHY,SCANLON,14,6,91
MCMURPHY,SEFELT,21,8,185
MCMURPHY,SPIVEY,53,9,698
MCMURPHY,TABER,36,12,262
MCMURPHY,TURKLE,17,6,167
MCMURPHY,WASHINGTON,22,7,150
NIGHT SUPERVISOR,TURKLE,16,3,122
ROSE,TURKLE,29,7,334
